sword,Sword_ThornwoodDirk,Sword_SapwoodFalchion,Sword_BramblecutSabre,Sword_RangersLongblade,Sword_HeartwoodBroadsword,Sword_BriarBillhook,Sword_HedgehogHooksword,Sword_HollowboughClaymore,Sword_HoneycombThorn,Boss_Gorgon,Boss_FrostRevenant,Boss_InfernalColossus,Boss_VoidWraith,Boss_CelestialTitan,RootWarden,DrownedBellwarden,TempestWarden,SwordMeshTemplate
Sword_ThornwoodDirk,,0.536,0.624,0.615,0.41,0.538,0.467,0.441,0.583,0.531,0.493,0.518,0.499,0.474,0.513,0.498,0.55,0.6
Sword_SapwoodFalchion,0.536,,0.628,0.64,0.617,0.544,0.472,0.665,0.677,0.669,0.649,0.709,0.638,0.688,0.694,0.692,0.73,0.639
Sword_BramblecutSabre,0.624,0.628,,0.668,0.597,0.589,0.514,0.638,0.697,0.704,0.691,0.696,0.695,0.641,0.674,0.709,0.701,0.716
Sword_RangersLongblade,0.615,0.64,0.668,,0.515,0.671,0.552,0.58,0.71,0.622,0.572,0.641,0.577,0.619,0.647,0.617,0.648,0.708
Sword_HeartwoodBroadsword,0.41,0.617,0.597,0.515,,0.458,0.444,0.683,0.618,0.701,0.714,0.778,0.675,0.749,0.733,0.716,0.712,0.524
Sword_BriarBillhook,0.538,0.544,0.589,0.671,0.458,,0.689,0.49,0.6,0.593,0.516,0.556,0.546,0.506,0.533,0.547,0.576,0.612
Sword_HedgehogHooksword,0.467,0.472,0.514,0.552,0.444,0.689,,0.494,0.539,0.569,0.485,0.531,0.529,0.464,0.496,0.532,0.535,0.483
Sword_HollowboughClaymore,0.441,0.665,0.638,0.58,0.683,0.49,0.494,,0.675,0.683,0.652,0.751,0.671,0.68,0.706,0.715,0.696,0.594
Sword_HoneycombThorn,0.583,0.677,0.697,0.71,0.618,0.6,0.539,0.675,,0.676,0.63,0.708,0.649,0.675,0.701,0.651,0.712,0.652
