sword,Sword_IcicleShiv,Sword_SnowpackFalchion,Sword_FrostpaneSabre,Sword_GlacierrunLongsword,Sword_RimecoatBroadsword,Sword_BlueHourShard,Sword_IcicleEstoc,Sword_SnowglobeSabre,Boss_Gorgon,Boss_FrostRevenant,Boss_InfernalColossus,Boss_VoidWraith,Boss_CelestialTitan,RootWarden,DrownedBellwarden,TempestWarden,SwordMeshTemplate
Sword_IcicleShiv,,0.687,0.586,0.711,0.48,0.576,0.789,0.626,0.536,0.493,0.53,0.502,0.502,0.55,0.499,0.556,0.625
Sword_SnowpackFalchion,0.687,,0.763,0.725,0.675,0.712,0.566,0.802,0.757,0.703,0.723,0.706,0.667,0.721,0.724,0.726,0.758
Sword_FrostpaneSabre,0.586,0.763,,0.711,0.751,0.744,0.485,0.728,0.737,0.708,0.783,0.708,0.727,0.767,0.757,0.743,0.704
Sword_GlacierrunLongsword,0.711,0.725,0.711,,0.621,0.74,0.592,0.757,0.681,0.635,0.691,0.642,0.654,0.695,0.673,0.699,0.722
Sword_RimecoatBroadsword,0.48,0.675,0.751,0.621,,0.769,0.403,0.653,0.753,0.743,0.833,0.721,0.797,0.785,0.749,0.774,0.59
Sword_BlueHourShard,0.576,0.712,0.744,0.74,0.769,,0.48,0.692,0.779,0.778,0.751,0.781,0.775,0.823,0.776,0.733,0.638
Sword_IcicleEstoc,0.789,0.566,0.485,0.592,0.403,0.48,,0.523,0.439,0.443,0.434,0.448,0.428,0.478,0.448,0.48,0.53
Sword_SnowglobeSabre,0.626,0.802,0.728,0.757,0.653,0.692,0.523,,0.731,0.681,0.707,0.691,0.632,0.67,0.687,0.713,0.751
