sword,Sword_RiftDagger,Sword_UmbralFalchion,Sword_NightfallKris,Sword_NetherSaber,Sword_StarlessSabre,Sword_CollapseClaymore,Sword_EventideClaymore,Sword_SingularityGreatsword,Sword_ArchonsVerdict,Boss_Gorgon,Boss_FrostRevenant,Boss_InfernalColossus,Boss_VoidWraith,Boss_CelestialTitan,RootWarden,DrownedBellwarden,TempestWarden,SwordMeshTemplate
Sword_RiftDagger,,0.66,0.722,0.617,0.69,0.565,0.608,0.57,0.537,0.544,0.504,0.558,0.505,0.535,0.568,0.541,0.593,0.665
Sword_UmbralFalchion,0.66,,0.768,0.812,0.78,0.73,0.741,0.694,0.745,0.77,0.744,0.747,0.744,0.694,0.745,0.801,0.77,0.767
Sword_NightfallKris,0.722,0.768,,0.71,0.812,0.713,0.789,0.7,0.709,0.678,0.638,0.712,0.651,0.67,0.719,0.69,0.716,0.722
Sword_NetherSaber,0.617,0.812,0.71,,0.72,0.684,0.718,0.676,0.715,0.757,0.724,0.715,0.741,0.642,0.692,0.729,0.724,0.723
Sword_StarlessSabre,0.69,0.78,0.812,0.72,,0.716,0.776,0.678,0.711,0.677,0.64,0.701,0.643,0.654,0.699,0.704,0.711,0.698
Sword_CollapseClaymore,0.565,0.73,0.713,0.684,0.716,,0.804,0.695,0.828,0.706,0.688,0.784,0.675,0.705,0.709,0.724,0.754,0.626
Sword_EventideClaymore,0.608,0.741,0.789,0.718,0.776,0.804,,0.814,0.833,0.738,0.697,0.805,0.722,0.751,0.778,0.74,0.784,0.68
Sword_SingularityGreatsword,0.57,0.694,0.7,0.676,0.678,0.695,0.814,,0.759,0.739,0.723,0.783,0.711,0.786,0.81,0.711,0.75,0.613
Sword_ArchonsVerdict,0.537,0.745,0.709,0.715,0.711,0.828,0.833,0.759,,0.759,0.74,0.81,0.747,0.742,0.773,0.794,0.77,0.643
