sword,Sword_CinderShortsword,Sword_MagmaFalchion,Sword_SlagheapCleaver,Sword_AshenSaber,Sword_VentSabre,Sword_EmberplateClaymore,Sword_BasaltClaymore,Sword_PyroclastGreatsword,Sword_ColossusHeart,Boss_Gorgon,Boss_FrostRevenant,Boss_InfernalColossus,Boss_VoidWraith,Boss_CelestialTitan,RootWarden,DrownedBellwarden,TempestWarden,SwordMeshTemplate
Sword_CinderShortsword,,0.721,0.644,0.717,0.734,0.646,0.7,0.814,0.71,0.655,0.619,0.656,0.642,0.629,0.686,0.638,0.685,0.684
Sword_MagmaFalchion,0.721,,0.781,0.808,0.74,0.761,0.772,0.717,0.742,0.803,0.743,0.763,0.749,0.713,0.761,0.778,0.78,0.788
Sword_SlagheapCleaver,0.644,0.781,,0.736,0.654,0.66,0.687,0.617,0.633,0.743,0.642,0.671,0.655,0.589,0.632,0.661,0.698,0.731
Sword_AshenSaber,0.717,0.808,0.736,,0.726,0.727,0.751,0.7,0.741,0.736,0.72,0.715,0.721,0.649,0.684,0.745,0.722,0.728
Sword_VentSabre,0.734,0.74,0.654,0.726,,0.696,0.722,0.722,0.728,0.694,0.646,0.713,0.658,0.676,0.718,0.686,0.695,0.705
Sword_EmberplateClaymore,0.646,0.761,0.66,0.727,0.696,,0.829,0.685,0.813,0.769,0.768,0.832,0.77,0.78,0.817,0.826,0.769,0.635
Sword_BasaltClaymore,0.7,0.772,0.687,0.751,0.722,0.829,,0.775,0.84,0.784,0.755,0.828,0.783,0.758,0.793,0.807,0.785,0.672
Sword_PyroclastGreatsword,0.814,0.717,0.617,0.7,0.722,0.685,0.775,,0.777,0.692,0.656,0.736,0.665,0.695,0.722,0.677,0.744,0.655
Sword_ColossusHeart,0.71,0.742,0.633,0.741,0.728,0.813,0.84,0.777,,0.721,0.714,0.802,0.721,0.762,0.811,0.781,0.765,0.656
