sword,Sword_RimeguardShortsword,Sword_GlacierFalchion,Sword_SnowdriftSaber,Sword_HoarwindClaymore,Sword_PermafrostGreatsword,Sword_AuroraGreatblade,Boss_Gorgon,Boss_FrostRevenant,Boss_InfernalColossus,Boss_VoidWraith,Boss_CelestialTitan,RootWarden,DrownedBellwarden,TempestWarden,SwordMeshTemplate
Sword_RimeguardShortsword,,0.734,0.77,0.773,0.766,0.722,0.738,0.703,0.767,0.732,0.751,0.802,0.729,0.756,0.691
Sword_GlacierFalchion,0.734,,0.801,0.727,0.702,0.765,0.77,0.743,0.749,0.742,0.707,0.753,0.808,0.762,0.752
Sword_SnowdriftSaber,0.77,0.801,,0.709,0.692,0.719,0.76,0.727,0.725,0.736,0.658,0.709,0.727,0.731,0.771
Sword_HoarwindClaymore,0.773,0.727,0.709,,0.808,0.751,0.726,0.68,0.788,0.722,0.719,0.747,0.759,0.741,0.656
Sword_PermafrostGreatsword,0.766,0.702,0.692,0.808,,0.764,0.725,0.703,0.814,0.708,0.754,0.758,0.746,0.775,0.622
Sword_AuroraGreatblade,0.722,0.765,0.719,0.751,0.764,,0.782,0.771,0.806,0.764,0.754,0.816,0.802,0.752,0.645
