sword,Sword_Riftsliver,Sword_HushedFalchion,Sword_GloamsteelSabre,Sword_NullbrandLongsword,Sword_RiftwalkerBroadsword,Sword_QuietStar,Sword_HushfangKris,Sword_GloamTanto,Sword_WishboneComet,Boss_Gorgon,Boss_FrostRevenant,Boss_InfernalColossus,Boss_VoidWraith,Boss_CelestialTitan,RootWarden,DrownedBellwarden,TempestWarden,SwordMeshTemplate
Sword_Riftsliver,,0.673,0.613,0.647,0.517,0.626,0.741,0.782,0.707,0.574,0.543,0.583,0.542,0.579,0.611,0.564,0.611,0.677
Sword_HushedFalchion,0.673,,0.77,0.793,0.734,0.749,0.745,0.685,0.807,0.78,0.733,0.773,0.751,0.702,0.759,0.781,0.78,0.784
Sword_GloamsteelSabre,0.613,0.77,,0.633,0.605,0.606,0.654,0.61,0.765,0.701,0.655,0.651,0.663,0.58,0.625,0.667,0.669,0.681
Sword_NullbrandLongsword,0.647,0.793,0.633,,0.739,0.816,0.694,0.682,0.746,0.744,0.706,0.785,0.732,0.724,0.773,0.777,0.747,0.698
Sword_RiftwalkerBroadsword,0.517,0.734,0.605,0.739,,0.749,0.601,0.53,0.657,0.772,0.74,0.818,0.739,0.769,0.767,0.76,0.761,0.59
Sword_QuietStar,0.626,0.749,0.606,0.816,0.749,,0.664,0.635,0.712,0.7,0.69,0.766,0.702,0.727,0.757,0.748,0.744,0.674
Sword_HushfangKris,0.741,0.745,0.654,0.694,0.601,0.664,,0.719,0.745,0.633,0.62,0.633,0.634,0.598,0.654,0.635,0.667,0.704
Sword_GloamTanto,0.782,0.685,0.61,0.682,0.53,0.635,0.719,,0.668,0.567,0.549,0.591,0.555,0.575,0.615,0.584,0.606,0.689
Sword_WishboneComet,0.707,0.807,0.765,0.746,0.657,0.712,0.745,0.668,,0.716,0.693,0.712,0.692,0.657,0.703,0.713,0.725,0.766
